Timestamp;In which age group are you in?;What is your gender?;What is the highest educational diploma you have obtained?;Level of education. Numeric;In which discipline is your academic background?;How many languages do you speak fluently?;Where do you currently reside?;COP 26 is organised to prevent the Earth’s average temperature from rising by no more than how many degrees Celsius?;COP 26.Numeric;Do you think that climate change is caused by human activities?;Which of the following is a greenhouse gas?;Did you notice changes in temperatures during this year in comparison to few last years (warmer summers, colder winters, etc.) ?;Did you notice changes in temperatures. Numeric;The majority of scientists agree that climate change is real;The majority of scientists agree .Numeric;Climate change is bound to happen because of the global economic activity;global economic activity. Numeric;Climate change is a natural phenomenon;Recent global disasters ( floods, fires, droughts) are more prevalent because of climate change;Recent global disasters. Numeric;Climate change is mostly because of the pollution from industries;pollution from industries. Numeric;Total eco awareness score. Numeric;What can an individual do to reduce the process of climate change?;What can society as a group do to reduce the process of climate change?;;;;;baseline;;;temp baseline;;;;Hypothesis 1 = Climate change is bound to happen because of the global economic activity vs Level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.21 15:54;Over 30 years;Male;PhD Diploma;4;Humanities;3;France;1,5;1;Yes;I am not sure;Yes;1;Yes;1;7;1;3;7;1;5;1;1,2;Change consumer habits (for example less meat in diet, or directly full vegetarian);Vote for politicians (and their concrete policies) that take unpopular but needed measures to reduce emissions drastically;correlation ed level/degrees;-11%;;;Bachelor's Diploma;2;;1,5;1;;;t-Test: Paired Two Sample for Means;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.21 18:13;21-25 years;Female;Bachelor's Diploma;2;Social sciences;2;France;I am not sure;0;Yes;Water Vapor;Yes;1;Yes;1;7;1;2;6;1;5;1;1,05;lowering water temperature;More electric vehicles;mean;0,618159204;;;Master's Diploma;3;;2,5;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Row Labels;Count of Where do you currently reside?;;Row Labels;Count of What is your gender?;;Row Labels;Count of What is the highest educational diploma you have obtained?;;Row Labels;Count of In which discipline is your academic background?
25.11.21 22:49;26-30 years;Male;Bachelor's Diploma;2;Applied sciences;2;France;2,5;0,75;Yes;Methane;Yes;1;Yes;1;7;1;4;6;1;6;1;1,1625;reduce energy consumption, reduce wast, use renewable energy, recycle, transmit the message with your friends;transmit the message with campaigns, organize activities involved to reduce wast;median;0,75;;;High School Diploma;1;;3,5;0,5;;;;Variable 1;Variable 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Australia;1;;Female;117;;Bachelor's Diploma;53;;Applied sciences;55
26.11.21 19:11;Over 30 years;Female;Master's Diploma;3;Applied sciences;3;Ukraine;1,5;1;I am not sure;Carbon Dioxide;Yes;1;Yes;1;7;1;4;6;1;3;0;1;Recycling, mindful consuming, using less natural resources;Renewable energy, zero emission plants, public awareness;level of education. Mean;2,323383085;;;PhD Diploma;4;;I am not sure;0;;;Mean;2,323383085;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Austria;2;;Male;77;;High School Diploma;47;;Art education and Fine Arts;1
26.11.21 19:16;26-30 years;Female;Master's Diploma;3;Humanities;3;Ukraine;I am not sure;0;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;2;6;1;5;1;1,05;Use more of organic, recycling products, reduce waste, pay more attention to recycling and reusing;We need more environmental education, we lack knowledge about everyday things we can do, focusing on recycling and decreasing waste;ed median;3;;;;;;;;;;Variance;0,799900498;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Canada;4;;Non-Binary;2;;Master's Diploma;90;;Biology;1
26.11.21 19:17;Over 30 years;Female;Master's Diploma;3;Humanities;3;Ukraine;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;2;6;1;6;1;1,2;Plant more trees;Advocate for a healthy planet;;;;;;;;;;;;Observations;201;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Czech Republic;3;;Prefer not to say;5;;PhD Diploma;11;;Commerce;1
26.11.21 19:21;21-25 years;Female;Bachelor's Diploma;2;Humanities;5;France;I am not sure;0;No;Carbon Dioxide;Yes;1;Yes;1;7;1;6;7;1;5;1;1,05;To manage heating in apartment, to use biodegradable materials, to produce less waste, to use common transport more than personal car;Pack goods in biodegradable packaging, use sustainable systems for productions, educate children and adults on eco-friendly behavior, change the global heating system;;;;;;;;;;;;Pearson Correlation;-0,8;;Hypotheris is not confirmed as we have no correlation here;;;;;;;;;;;;;;;;;;;;;;;;;;;;France;79;;(blank);;;(blank);;;Communications;1
26.11.21 19:31;26-30 years;Female;Master's Diploma;3;Applied sciences;3;Ukraine;I am not sure;0;Yes;Carbon Dioxide;No;0;Yes;1;7;1;3;6;1;1;0;0,7;Change their diet, cut the amount of electricity and gas spent at work/ home, recycle and buy less things;Educate its members about the situation and ways to influence it on individual level;;;;;;;;;;;;Hypothesized Mean Difference;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Germany;1;;Grand Total;201;;Grand Total;201;;Computer Science;1
26.11.21 19:32;18-20 years;Female;High School Diploma;1;Humanities;3;Ukraine;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;4;6;1;5;1;1,2;We can go vegan, stop buying so much stuff, ride bikes instead of driving cars;We can boycott great meat-consuming businesses (McDonald's, KFC etc.), get ecological laws (banning/taxing car usage in the city centre etc.) passed;;;;;;;;;;;;df;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;India;10;;;;;;;;Construction & Learning sciences;1
26.11.21 20:00;Over 30 years;Female;Master's Diploma;3;Social sciences;4;Ukraine;1,5;1;Yes;Carbon Dioxide;Yes;1;Yes;1;7;1;5;7;1;7;1;1,2;To use the resources wisely, reuse and diminish one's carbon trace;Advocate and educate for less pollution, reduce consummation etc;;;;;;;;;;;;t Stat;20,97807455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pakistan;10;;;;;;;;design;2
26.11.21 20:03;Over 30 years;Male;Master's Diploma;3;Natural sciences;2;Ukraine;1,5;1;Yes;All of them;No;0;Yes;1;7;1;6;6;1;4;0,5;0,95;Plant the tree;Intensify usage of the nuclear and renewable energy, struggle with deforestation;;;;;;;;;;;;P(T<=t) one-tail;1,0229E-52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Poland;34;;;;;;;;Engineering;2
26.11.21 20:30;18-20 years;Female;Bachelor's Diploma;2;Humanities;3;Poland;1,5;1;Yes;All of them;Yes;1;Yes;1;7;1;7;7;1;7;1;1,2;vote for right politics;change source of energy;;;;;;;;;;;;t Critical one-tail;1,285798794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Russia;3;;;;;;;;Finance;2
26.11.21 20:36;21-25 years;Male;Master's Diploma;3;Applied sciences;2;France;2,5;0,75;Yes;Carbon Dioxide, Methane;No;0;Yes;1;7;1;4;7;1;7;1;1,0125;People : lower consumption. Elites : stop investing into shit;Society must unite. Cooperate. Stop competition;;;;;;;;;;;;P(T<=t) two-tail;2,04579E-52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Somalia;1;;;;;;;;Humanities;32
26.11.21 20:39;26-30 years;Female;Master's Diploma;3;Social sciences;4;Poland;I am not sure;0;Yes;Carbon Dioxide, I am not sure;Yes;1;Yes;1;7;1;6;7;1;7;1;1,05;It will be true answer: one person can't change nothing. Even if I woud segregate trash, using small amount of water durinv washing plates (etc) or using shopper instead of plastic pocket. I do all this, but its only me.;It should be strong rules and restrictions that can prevent climate changes;;;;;;;;;;;;t Critical two-tail;1,652508101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spain;1;;;;;;;;IT;2
